จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,ผู้ลงสมัคร สส.,พรรคที่สังกัด,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,Last Update:
กระบี่,1,1,นายกิตติ กิตติธรกุล,ภูมิใจไทย,47972,56.03747,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,2026-02-10
กระบี่,1,2,นายธนวัช ภูเก้าล้วน,ประชาชน,19641,22.94322,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,17:45:50
กระบี่,1,3,นายวศิน สิริเกียรติกุล,ประชาธิปัตย์,14591,17.04417,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,
กระบี่,1,4,นายสุวรรณ อินพรหม,เพื่อไทย,2214,2.58624,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,
กระบี่,1,5,นายพิทักษ์ ภารา,เศรษฐกิจ,815,0.95202,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,
กระบี่,1,6,นายพงไพร บุตรเลี่ยม,พลังประชารัฐ,374,0.43688,92613,71.99282,85607,2599,4407,204,94.88372,FALSE,,
กระบี่,2,1,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,39705,55.10986,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,2,นายกฤตพร บุษย์เพชร,ประชาธิปัตย์,19674,27.30717,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,3,นางสาวรัตนภรณ์ ณ นคร,ประชาชน,7437,10.32243,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,4,นายยุทธนา อ่าวลึกน้อย,เพื่อไทย,2551,3.54074,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,5,นายวิชากร บุญฤทธิ์,พลังประชารัฐ,1196,1.66003,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,6,นายสีหเดช แสงจันทร์,เศรษฐกิจ,768,1.06597,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,2,7,นายสมใจ นวลนุ่น,ไทยก้าวใหม่,716,0.9938,78537,66.75421,72047,2435,4055,198,94.73684,FALSE,,
กระบี่,3,1,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,45246,54.29021,89805,72.25731,83341,2749,3715,220,94.82759,FALSE,,
กระบี่,3,2,นายสุกิติ พรหมทอง,ประชาธิปัตย์,14920,17.90235,89805,72.25731,83341,2749,3715,220,94.82759,FALSE,,
