จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กระบี่,1,1,ประชาธิปัตย์,32568,37.50907,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,2026-02-10
กระบี่,1,2,ประชาชน,21428,24.67896,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,17:45:50
กระบี่,1,3,ภูมิใจไทย,14210,16.36588,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,4,ประชาชาติ,3496,4.0264,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,5,เพื่อชาติไทย,3193,3.67743,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,6,เพื่อไทย,2384,2.74569,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,7,เศรษฐกิจ,1489,1.7149,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,8,ประชาธิปไตยใหม่,1276,1.46959,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,9,รวมไทยสร้างชาติ,1194,1.37515,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,1,10,ไทยภักดี,648,0.74631,92607,71.98815,86827,3254,2526,204,94.88372,FALSE,,,
กระบี่,2,1,ประชาธิปัตย์,44106,59.54879,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,2,ประชาชน,10752,14.51659,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,3,ภูมิใจไทย,7699,10.39464,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,4,เพื่อชาติไทย,2034,2.74616,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,5,เพื่อไทย,1491,2.01304,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,6,ประชาธิปไตยใหม่,1036,1.39873,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,7,เศรษฐกิจ,1000,1.35013,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,8,รวมไทยสร้างชาติ,727,0.98154,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,9,ประชาชาติ,505,0.68182,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,2,10,ไทยก้าวหน้า,373,0.5036,78612,66.81796,74067,2804,1741,198,94.73684,FALSE,,,
กระบี่,3,1,ประชาธิปัตย์,43386,53.6703,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,2,ภูมิใจไทย,12020,14.86924,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,3,ประชาชน,11806,14.60452,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,4,รวมใจไทย,2028,2.50872,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,5,เพื่อไทย,1835,2.26997,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,6,ประชาชาติ,1261,1.55991,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,7,ประชาธิปไตยใหม่,1162,1.43744,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,8,เศรษฐกิจ,1117,1.38178,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,9,รวมไทยสร้างชาติ,731,0.90428,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กระบี่,3,10,เพื่อชาติไทย,622,0.76944,85728,68.97695,80838,3064,1826,220,94.82759,FALSE,,,
กรุงเทพมหานคร,1,1,ประชาชน,32377,43.45031,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
กรุงเทพมหานคร,1,2,ภูมิใจไทย,15663,21.01993,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
กรุงเทพมหานคร,1,3,ประชาธิปัตย์,11203,15.03456,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
กรุงเทพมหานคร,1,4,เพื่อไทย,6086,8.16748,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
กรุงเทพมหานคร,1,5,ไทยภักดี,2052,2.75381,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
กรุงเทพมหานคร,1,6,รวมไทยสร้างชาติ,1773,2.37939,78155,59.92425,74515,1590,2050,227,94.97908,FALSE,,,
