จังหวัด,เขตเลือกตั้งที่,ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,เห็นชอบ,ไม่เห็นชอบ,ไม่แสดงความคิดเห็น,ร้อยละเห็นชอบ,ร้อยละไม่เห็นชอบ,ร้อยละไม่แสดงความคิดเห็น,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,Last Update:
กระบี่,1,88218,68.57636,85848,2370,39961,37042,8845,46.54855,43.14836,10.30309,202,94.83568,FALSE,,2026-02-10
กระบี่,2,78092,66.37598,76169,1923,28601,40163,7405,37.5494,52.7288,9.7218,196,94.68599,FALSE,,17:45:50
กระบี่,3,85425,68.73315,83043,2382,33873,40785,8385,40.78971,49.11311,10.09718,218,94.78261,FALSE,,
กรุงเทพมหานคร,1,79245,60.75999,78266,979,47947,26432,3887,61.2616,33.77201,4.9664,225,94.93671,FALSE,,
กรุงเทพมหานคร,2,81960,60.05231,80964,996,50937,26114,3913,62.91315,32.25384,4.83301,218,94.78261,FALSE,,
กรุงเทพมหานคร,3,88357,72.08227,87252,1105,57511,25777,3964,65.91368,29.54316,4.54316,204,94.88372,FALSE,,
กรุงเทพมหานคร,4,75703,58.47914,74620,1083,46852,24062,3706,62.78746,32.24605,4.9665,185,94.87179,FALSE,,
กรุงเทพมหานคร,5,106053,79.13458,105029,1024,75322,25811,3896,71.71543,24.57512,3.70945,204,94.88372,FALSE,,
กรุงเทพมหานคร,6,102242,71.42598,101016,1226,67249,29424,4343,66.57262,29.12806,4.29932,207,94.95413,FALSE,,
กรุงเทพมหานคร,7,84106,60.82473,83031,1075,52957,25833,4241,63.77979,31.11248,5.10773,199,94.7619,FALSE,,
กรุงเทพมหานคร,8,94333,65.47856,93337,996,60343,28951,4043,64.65067,31.01771,4.33162,191,94.55446,FALSE,,
กรุงเทพมหานคร,9,106562,73.84959,105500,1062,72424,28614,4462,68.64834,27.12227,4.22938,187,94.92386,FALSE,,
กรุงเทพมหานคร,10,90978,65.59952,89852,1126,59374,25236,5242,66.07978,28.08619,5.83404,176,94.62366,FALSE,,
กรุงเทพมหานคร,11,98248,71.54727,97052,1196,66624,25212,5216,68.64774,25.97783,5.37444,183,94.81865,FALSE,,
กรุงเทพมหานคร,12,105446,73.66222,104355,1091,72374,27513,4468,69.35365,26.36481,4.28154,179,94.70899,FALSE,,
กรุงเทพมหานคร,13,90891,69.01,89925,966,60621,25749,3555,67.41284,28.63386,3.95329,181,94.7644,FALSE,,
กรุงเทพมหานคร,14,90978,64.82639,89807,1171,58331,27587,3889,64.95151,30.7181,4.3304,185,94.87179,FALSE,,
